@RELATION movie
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE awardedDirector {0,1}
@ATTRIBUTE oscarDirector {0,1}
@ATTRIBUTE awardedActor {0,1}
@ATTRIBUTE oscarActor {0,1}
@ATTRIBUTE genre {Drama,Horror,Action,Comedy,Others}
@ATTRIBUTE certificate {R, PG_13, PG, NOT_RATED}
@ATTRIBUTE rating {Bad,Regular,Good}
@DATA
85,0,0,1,0,Action,NOT_RATED,Bad
85,0,0,0,0,Drama,NOT_RATED,Bad
105,0,0,0,0,Comedy,NOT_RATED,Bad
86,0,0,1,0,Drama,NOT_RATED,Bad
96,0,0,0,0,Horror,NOT_RATED,Bad
0,0,0,1,0,Action,NOT_RATED,Bad
93,0,0,0,0,Action,NOT_RATED,Bad
90,0,0,0,0,Action,NOT_RATED,Bad
100,0,0,0,0,Comedy,NOT_RATED,Bad
0,0,0,1,0,Action,NOT_RATED,Bad
98,0,0,1,0,Comedy,NOT_RATED,Bad
0,0,0,1,0,Horror,R,Bad
85,0,0,0,0,Comedy,NOT_RATED,Bad
98,0,0,1,0,Action,R,Bad
95,0,0,1,0,Horror,NOT_RATED,Bad
77,0,0,0,0,Horror,NOT_RATED,Bad
103,0,0,0,0,Horror,R,Bad
80,0,0,1,0,Drama,NOT_RATED,Bad
0,0,0,0,0,Comedy,NOT_RATED,Bad
89,0,0,0,0,Horror,NOT_RATED,Bad
0,0,0,0,0,Horror,NOT_RATED,Bad
137,0,0,1,0,Others,NOT_RATED,Bad
0,0,0,1,0,Horror,NOT_RATED,Bad
90,0,0,0,0,Comedy,NOT_RATED,Bad
0,0,0,1,0,Horror,NOT_RATED,Bad
93,0,0,0,0,Action,NOT_RATED,Bad
83,0,0,0,0,Comedy,PG_13,Bad
0,0,0,0,0,Horror,NOT_RATED,Bad
122,0,0,0,0,Drama,NOT_RATED,Bad
0,0,0,1,0,Comedy,NOT_RATED,Bad
95,0,0,0,0,Comedy,NOT_RATED,Bad
97,0,0,1,0,Action,NOT_RATED,Bad
78,0,0,1,0,Horror,NOT_RATED,Bad
90,0,0,0,0,Horror,NOT_RATED,Bad
98,0,0,1,0,Horror,NOT_RATED,Bad
90,0,0,0,0,Comedy,NOT_RATED,Bad
70,0,0,0,0,Action,NOT_RATED,Bad
0,0,0,0,0,Comedy,NOT_RATED,Bad
74,0,0,0,0,Horror,NOT_RATED,Bad
107,0,0,1,0,Action,R,Regular
101,0,0,1,0,Drama,R,Regular
101,0,0,1,0,Drama,R,Regular
84,0,0,1,0,Horror,R,Bad
85,0,0,1,0,Drama,R,Good
102,0,0,1,0,Horror,R,Regular
150,0,0,1,0,Action,NOT_RATED,Good
111,0,0,1,0,Drama,PG_13,Bad
86,0,0,1,0,Comedy,R,Regular
112,0,0,1,0,Action,PG_13,Regular
103,0,0,1,0,Drama,NOT_RATED,Regular
85,0,0,1,0,Horror,R,Regular
116,0,0,1,0,Action,R,Regular
104,0,0,1,0,Drama,PG,Good
94,0,0,1,0,Others,PG,Bad
91,0,0,1,0,Others,PG,Regular
172,0,0,1,0,Action,NOT_RATED,Regular
95,0,0,1,0,Action,NOT_RATED,Regular
90,0,0,1,0,Drama,R,Regular
90,0,0,1,0,Action,PG_13,Regular
131,0,0,0,0,Action,R,Regular
93,0,0,1,0,Drama,PG_13,Regular
99,0,0,1,0,Drama,R,Bad
78,0,0,1,0,Drama,NOT_RATED,Regular
105,0,0,1,0,Others,PG,Regular
86,0,0,1,0,Action,R,Regular
96,0,0,1,0,Action,R,Regular
105,0,0,1,0,Drama,R,Regular
85,0,0,0,0,Others,PG_13,Good
113,0,0,1,0,Drama,PG_13,Regular
92,0,0,1,0,Drama,PG_13,Regular
101,0,0,1,0,Drama,R,Regular
122,0,0,1,0,Others,NOT_RATED,Regular
83,0,0,0,0,Comedy,PG_13,Bad
106,0,0,1,0,Action,R,Regular
111,0,0,1,0,Drama,R,Regular
111,0,0,1,0,Comedy,PG_13,Regular
97,0,0,1,0,Comedy,R,Regular
110,0,0,1,0,Action,NOT_RATED,Regular
97,0,0,1,0,Comedy,R,Regular
103,0,0,1,0,Drama,PG_13,Regular
86,0,0,1,0,Horror,R,Regular
89,0,0,1,0,Drama,R,Good
94,0,0,1,0,Action,R,Regular
89,0,0,1,0,Comedy,NOT_RATED,Regular
100,0,0,1,0,Horror,R,Bad
100,0,0,0,0,Horror,R,Regular
91,0,0,1,0,Drama,R,Regular
90,0,0,1,0,Comedy,R,Regular
106,0,0,1,0,Horror,NOT_RATED,Regular
